company,,,,,,,,,
社会福祉法人洋和会あんのん山科,076-241-1515,石川県金沢市窪6丁目14...,小規模多機能型居宅介護、認知症対応型共同生活介護、介護予防小規模多機能型居宅介護、介護予防認知症対応型共同生活介護,,https://jp.i...,,,,
社会福祉法人加茂福祉会平成園,0256-64-8936,新潟県加茂市石川2丁目2...,介護,ショートステイ,https://kam...,,,04月08日 21時05分,
社会福祉法人草笛の会菊川寮,0537-73-6202,静岡県菊川市東横地133,介護,施設入所支援事業 生活介...,https://kus...,,,04月08日 21時05分,
社会福祉法人武蔵野会障害者支援施設さくら学園,0550-89-0789,静岡県御殿場市川島田1976,介護,障害者支援施設,http://sakur...,,,04月08日 21時05分,04月08日 21時05分
医療法人社団明徳会介護老人保健施設エーデルワイス,053-585-1500,静岡県浜松市浜北区平口2405,介護,,https://xn--...,,,04月08日 21時05分,
株式会社さわやか倶楽部さわやかはままつ館,053-430-6701,静岡県浜松市中区葵東2丁...,介護付有料老人ホーム,,https://xn--...,,,04月08日 21時05分,
株式会社ITOケアサポート通所介護なごみ,0562-91-5753,愛知県豊明市沓掛町浅敷77-1,,,https://xn--...,,,04月08日 21時05分,
社会福祉法人紫水会オーネスト堀川,052-651-8331,愛知県名古屋市中川区十一...,,,https://jp.i...,,,04月08日 21時05分,
株式会社グリップひだまりの家大高台,052-627-7110,愛知県名古屋市緑区大高台...,介護,介護職員,,,,04月08日 21時05分,
株式会社グリップひだまりの家南野,052-883-9158,愛知県名古屋市南区南野2...,介護,介護福祉士,https://grip...,,,04月08日 21時05分,
株式会社ライフケアライフケア門間,0586-86-9317,愛知県一宮市木曽川町門間...,介護,介護職,https://www....,,,04月08日 21時05分,
社会福祉法人觀寿々会介護老人保健施設メデケアド寿,052-758-0077,愛知県名古屋市北区米が瀬...,介護,介護老人保健施設,https://misu...,,,04月08日 21時05分,
株式会社ケア21プレザンメゾン東起,052-389-1021,愛知県名古屋市中川区東起...,介護,介護付有料老人ホーム,https://www....,,,04月08日 21時05分,
株式会社KOGISHI高齢者専用賃貸住宅あさひ,0596-21-2111,三重県伊勢市 小俣町宮前...,介護,高齢者専用賃貸住宅,https://www....,,,04月08日 21時05分,
,,,,,,,,,
株式会社キタイセデイサービスあおい,0594-88-0900,三重県いなべ市大安町大井...,,,https://xn--...,,,04月08日 21時05分,
社会福祉法人大和高原育成福祉会特別養護老人ホー...,059-252-8020,三重県津市中村町745-25,,,https://xn--...,,,04月08日 21時05分,
高齢者専用賃貸住宅あさひ,0596-21-2111,三重県伊勢市小俣町宮前７５７,介護,,https://xn--...,,,04月08日 21時05分,
,,,,,,,,,
株式会社愛総合福祉／愛・グループホーム瀬ヶ崎,048-711-3973,埼玉県さいたま市浦和区瀬...,介護,介護全般,https://i-s...,https://i-so...,,04月02日 19時46分,
株式会社東日本福祉経営サービスル・レーヴふじみ野,049-256-7722,埼玉県ふじみ野市新駒林1...,介護,介護付き老人ホーム,https://www...,https://www....,,04月02日 19時46分,
株式会社ケア21たのしい家戸田,048-422-0521,埼玉県戸田市笹目1丁目34-6,介護,認知症グループホーム,https://www...,,,04月02日 19時46分,
株式会社木下の介護リアンレーヴ春日部／介護付有...,048-752-1011,埼玉県春日部市南中曽根4...,介護,介護付き老人ホーム,https://www...,,,04月02日 19時46分,
株式会社SOYOKAZE富士見ケアセンターそよ風,049-268-3880,埼玉県富士見市大字鶴馬3...,介護,介護デイサービス、ショー...,https://www...,https://www....,,04月02日 19時46分,
医療法人本庄福島病院,0495-22-5211,埼玉県本庄市千代田1-1-18,介護,訪問医療,https://www...,https://www....,,04月02日 19時46分,
株式会社SOYOKAZE幸手ケアセンターそよ風,0480-40-3491,埼玉県幸手市千塚993-1,介護,介護デイサービス、ショー...,https://www...,,,04月02日 19時46分,
株式会社明昭介護付有料老人ホーム蒲生めいせい,048-961-7080,埼玉県越谷市大字蒲生37...,介護,介護付き有料老人ホーム,https://son...,,,04月02日 19時46分,
アサヒサンクリーン株式会社在宅介護センター草加,050-3317-6960,埼玉県草加市吉町５丁目４―１,介護,訪問入浴,https://www...,,,04月02日 19時46分,
メディカル・ケア・プランニング株式会社ハーモニ...,0480-36-1212,埼玉県南埼玉郡宮代町道佛...,介護,介護付き有料老人ホーム,https://mcp...,,,04月02日 19時46分,
株式会社サンケイビルウェルケアウェルケアテラス...,048-480-5681,埼玉県新座市野火止７丁...,介護,介護付き老人ホーム,https://www...,,,04月02日 19時46分,
株式会社SOYOKAZE本太ケアセンターそよ風,048-871-2880,埼玉県さいたま市浦和区本...,介護,認知症対応型共同生活介護,https://www...,,,04月02日 19時46分,
株式会社東日本福祉経営サービスル・レーヴ南浦和,048-678-5001,埼玉県さいたま市南区大谷...,介護,介護付き有料老人ホーム,https://www...,,,04月02日 19時46分,
医療法人泰一会介護老人保健施設みかじま,042-938-1818,埼玉県所沢市三ケ島5丁目...,介護,,http://rouke...,,,04月02日 19時,
社会福祉法人平盛会光乃里デイサービス,0480-97-0171,埼玉県白岡市荒井新田359-1,介護,特別養護老人ホーム、ショ...,https://www....,,xx.gypsy1230,04月02日 19時50分,
株式会社ピュアホームズ看多機ぴゅあたいむ対応ス...,048-267-2111,埼玉県川口市芝1-14-3,介護,居宅介護支援、デイサービス,https://pur...,https://pure...,xx.gypsy1230,04月02日 19時50分,
社会福祉法人明和会べに花の郷デイサービスセンター,048-729-1177,埼玉県桶川市坂田516-1,介護,介護老人保健施設、通所介護,https://s-m...,,xx.gypsy1230,04月02日 19時50分,
株式会社ふれあい広場ふれあい多居夢蕨,048-441-0322,埼玉県戸田市本町1-21...,介護,居宅介護支援、グループホーム,https://www...,https://www....,xx.gypsy1230,04月02日 19時50分,
株式会社DAIKAN介護付有料老人ホーム明和ふ...,0287-83-8735,栃木県那須烏山市小木須1969,介護,有料老人ホーム,https://www...,https://www....,xx.gypsy1230,04月02日 19時50分,
社会福祉法人丹緑会特別養護老人ホーム栗林荘,0285-27-1582,栃木県小山市大字塚崎463-1,介護,特別養護老人ホーム,http://rits...,http://ritsu...,xx.gypsy1230,04月02日 19時50分,
医療法人社団萌彰会リヤンド-絆-那須,0287-62-5500,栃木県那須塩原市野間字神...,介護,老人ホーム,,,xx.gypsy1230,04月02日 19時50分,
医療法人北斗会介護老人保健施設宇都宮シルバーホ...,028-664-1551,栃木県宇都宮市平出町36...,介護,介護老人保健施設、グルー...,https://www...,,xx.gypsy1230,04月02日 19時50分,
株式会社足南シルバーサービス,0284-64-8444,栃木県足利市堀込町 １６...,介護,有料老人ホーム,,,xx.gypsy1230,04月02日 19時50分,
社会福祉法人森友会蓬莱荘,0283-67-1001,栃木県佐野市長谷場町17...,介護,特別養護老人ホーム、ショ...,http://www....,,xx.gypsy1230,04月02日 19時50分,
医療法人大田原厚生会介護老人保健施設椿寿荘,0287-23-6622,栃木県大田原市末広1-2-5,介護,グループホーム,,,xx.gypsy1230,04月02日 19時50,
社会福祉法人盡誠会指定通所介護事業所水郷荘,0299-79-2319,茨城県稲敷市幸田1252,介護,特別養護老人ホーム、短期...,https://sui...,https://suig...,xx.gypsy1230,04月02日 20時05分,
社会福祉法人聖愛会聖愛園元吉田デイサービスセン...,029-353-6100,茨城県水戸市元吉田町89...,介護,デイサービス,,,xx.gypsy1230,04月02日 20時05分,
医療法人社団愛友会介護老人保健施設勝田,048-773-1111,埼玉県上尾市柏座１丁目１...,介護,介護老人保健施設,https://www...,https://www....,tomopapa1958,04月02日 20時05分,
社会福祉法人欣水会デイサービスセンター滝の園,029-826-1110,茨城県土浦市宍塚1935番地,介護,特別養護老人ホーム,https://kin...,https://kins...,xx.gypsy1230,04月02日 20時22分,
社会福祉法人北勝会介護老人福祉施設北勝園,029-272-1178,茨城県ひたちなか市津田2...,介護,介護老人保健施設,https://hok...,,xx.gypsy1230,04月02日 20時22分,
有限会社アコードグループホームユートピア,0294-25-7322,茨城県日立市東成沢町３丁...,介護,グループホーム,http://www.g...,http://www.g...,xx.gypsy1230,04月02日 20時22分,
株式会社ライブコアサポートデイサービスくれあ,029-212-6212,茨城県ひたちなか市高場1...,介護,デイサービス,https://www...,,xx.gypsy1230,04月02日 20時22分,
コンテック株式会社まごころの家南高野,0294-59-3211,茨城県日立市南高野町2-...,介護,通所介護,,,xx.gypsy1230,04月02日 20時22分,
株式会社あおばあおばデイサービス,0296-44-6721,茨城県下妻市南原 124-1,介護,デイサービス,https://www...,,xx.gypsy1230,04月02日 20時22分,
社会福祉法人山水苑デイサービス滑川,0294-33-8836,茨城県日立市滑川町２－１...,介護,通所介護,,,xx.gypsy1230,04月02日 20時22分,
医療法人東湖会介護老人保健施設フロンティア鉾田春の場所,0291-32-5408,茨城県鉾田市柏熊985-1,介護,介護老人保健施設,https://www...,,xx.gypsy1230,04月02日 20時22分,
医療法人慈厚会サービス付き高齢者向け住宅ひかり,029-828-6880,茨城県土浦市中村東2-1...,介護,サービス付き高齢者向け住宅,https://s-hi...,,xx.gypsy1230,04月02日 20時22分,
医療法人社団青燈会介護老人保健施設ライブリーライフ那珂,029-295-6835,茨城県那珂市菅谷605-2,介護,介護老人保健施設,https://car...,https://care...,xx.gypsy1230,04月02日 20時22分,
医療法人慈仁会介護老人保健施設くじらヶ丘,0294-70-2611,茨城県常陸太田市田渡町8...,介護,介護老人保健施設,,,xx.gypsy1230,04月02日 20時22分,
医療法人恵仁会アレーテル・つくば,029-867-1182,茨城県つくば市北条１１７４,介護,介護老人保健施設,https://www...,,xx.gypsy1230,04月02日 20時22分,
有限会社リライフリライフ根道ヶ丘,0294-25-6663,茨城県日立市大沼町4-9-11,介護,サービス付き高齢者向け住宅,,,xx.gypsy1230,04月02日 20時22分,
社会福祉法人日立市社会福祉事業団,0294-36-2363,茨城県日立市鮎川町２丁目...,介護,特別養護老人ホーム、デイ...,https://www....,https://www....,xx.gypsy1230,04月02日 20時22分,
医療法人晴生会介護老人保健施設葵の園・美浦,029-885-1121,茨城県 稲敷郡美浦村土屋...,介護,介護老人保健施設,https://www....,https://www....,xx.gypsy1230,04月02日 20時22分,
社会福祉法人和仁福祉会石巻市大森デイサービスセン...,0225-93-8353,宮城県石巻市山下町一丁目...,介護,デイケア・デイサービス・...,,,2333tmak,04月02日 20時27分,
医療法人医徳会介護老人保健施設さつき苑,0225-83-7760,宮城県東松島市大塩字山崎...,介護,介護老人保健施設,https://www...,https://www....,xx.gypsy1230,04月02日 20時27分,
株式会社イーストケアデイサービスくつろぎ,022-254-3367,宮城県仙台市宮城野区蒲生...,介護,デイサービス,,,xx.gypsy1230,04月02日 20時27分,
社会福祉法人さんりん福祉会南原デイサービスセン...,0229-82-3012,宮城県大崎市鳴子温泉末沢...,介護,グループホーム、デイサー...,https://fuk...,,xx.gypsy1230,04月02日 20時27分,
医療法人育志会介護老人保健施設アルカディアウェル,0223-37-5885,宮城県亘理郡山元町山寺字...,介護,介護老人保健施設,https://iku...,,xx.gypsy1230,04月02日 20時27分,
医療法人社団中谷クリニック介護老人保健施設リーブズ,022-351-9939,宮城県仙台市泉中央駅,介護,介護老人保健施設,https://lea...,https://leav...,xx.gypsy1230,04月02日 20時27分,
医療法人財団弘慈会介護老人保健施設グレイスガーデン,0228-32-7730,宮城県栗原市若柳字福岡谷...,介護,介護老人保健施設,https://koj...,https://koji...,xx.gypsy1230,04月02日 20時27分,
株式会社WAGAYAデイサービスわが家,0229-25-3023,宮城県遠田郡涌谷町小里字...,介護,デイサービス,https://www...,https://www....,xx.gypsy1230,04月02日 20時27分,
社会福祉法人桃寿会在宅複合型施設ざおうの杜,0224-22-7050,宮城県刈田郡蔵王町曲竹...,介護,特別養護老人ホーム,https://car...,,xx.gypsy1230,04月02日 20時27分,
有限会社緑三松小規模多機能ぶらいと,0225-98-9731,宮城県石巻市吉野町２丁...,介護,小規模多機能,https://mim...,https://mimi...,xx.gypsy1230,04月02日 20時27分,
株式会社一輪の花デイサービス一輪の花,0220-22-1311,宮城県登米市迫町佐沼中...,介護,デイサービス,https://1ri...,,xx.gypsy1230,04月02日 20時27分,
株式会社しあわせ介護よりそうデイサービス水音の家,0224-26-9715,宮城県白石市字柳川原８－５,介護,デイサービス,https://shi...,https://shia...,xx.gypsy1230,04月02日 20時27分,
セントケア宮城株式会社セントケア大崎大宮,0229-91-0020,宮城県大崎市古川大宮二丁...,介護,小規模多機能,https://www...,,xx.gypsy1230,04月02日 20時27分,
有限会社まりちゃん家まりちゃん家,0229-32-3752,宮城県遠田郡美里町字志賀...,介護,通所介護、有料老人ホーム,https://mar...,,xx.gypsy1230,04月02日 20時27分,
医療法人社団平成会介護老人保健施設ファンコート...,022-347-4850,宮城県仙台市泉区西田中萱...,介護,介護老人保健施設,https://hei...,,xx.gypsy1230,04月02日 20時27分,
株式会社オリジンケアショートステイ和み園,022-306-3750,宮城県仙台市太白区柳生田...,介護,通所介護,,,xx.gypsy1230,04月02日 20時27分,
医療法人社団葵会介護老人保健施設葵の園・仙台,022-207-7700,宮城県仙台市太白区鈎取2...,介護,介護老人保健施設,https://www...,https://www....,xx.gypsy1230,04月02日 20時27分,
アースサポート株式会社アースサポート多賀城,022-364-3601,宮城県多賀城市伝上山３丁...,介護,デイサービス,https://www...,,xx.gypsy1230,04月02日 20時27分,
医療法人社団踏青会介護老人保健施設千の星・松戸,047-488-2135,千葉県八千代市米本247...,,,https://xn--...,,,04月02日 21時23分,
社会福祉法人太陽会介護老人保健施設たいよう,04-7093-7711,千葉県鴨川市西町1011番地1,,,https://xn--...,,,04月02日 21時23分,
セントケア千葉株式会社セントケア市原,0436-22-2944,千葉県市原市惣社4-3-5,,,https://xn--...,,,04月02日 21時23分,
株式会社さわやか倶楽部さわやかゆう輝の里,043-305-1233,千葉県千葉市中央区川戸町...,,,https://xn--...,,,04月02日 21時23分,
社会福祉法人生活クラブサポートハウス高根台,047-496-6555,千葉県船橋市高根台6-2...,介護,訪問看護,https://kaze...,,,04月02日 21時23分,
株式会社サムエスハッピーデイBali緑町,027-386-8782,群馬県高崎市緑町1丁目8-1,介護,グループホーム,https://www....,,,04月02日 21時40分,
社会福祉法人創世福祉事業団「聖・輝きの郷」,024-535-8000,福島県福島市旭町9-7,,,https://jp.i...,,,04月02日 21時56分,
社会福祉法人高田福祉会サテライト型特別養護老人ホ...,025-520-6388,新潟県上越市とよば112,特別養護老人ホーム,,https://xn--...,,,04月02日 21時56分,
株式会社フイユマ・メゾン花水木ゆうすい,055-934-5860,静岡県駿東郡清水町徳倉６...,介護,介護付き有料老人ホーム,https://www....,,,04月09日 22時58分,
社会福祉法人寿康会特別養護老人ホーム平成の杜,0550-76-3388,静岡県駿東郡小山町小山２...,介護,特別養護老人ホーム,http://jukoh...,,,04月09日 22時58分,
ナメカワアルミ株式会社富士工場,0555-24-1411,山梨県富士吉田市上暮地５...,工場,金属加工,,,,04月09日 22時58分,
社会福祉法人サンあなん救護施設阿南富草寮,0260-22-2524,長野県下伊那郡阿南町富草...,介護,グループホーム,http://busin...,,,04月09日 23時13分,
グリーンライフ東日本株式会社メディス安中,027-380-6699,群馬県安中市原市3452...,介護,グループホーム,https://www....,,,04月09日 23時13分,
株式会社サムエスハッピーデイBali緑町,027-386-8782,群馬県高崎市緑町1丁目8-1,介護,グループホーム,https://www....,,,04月09日 23時13分,
ちよだ株式会社グランヴィル前橋,027-234-7025,群馬県前橋市千代田町3丁...,介護,デイサービス・グループホーム,https://chiy...,,,04月09日 23時13分,
